customer_id,name,device_id,address,bank_account,signup_date,is_ring_member,ring_id
C00702,Miss Linda Cox DVM,DVC-fdbc847a,"0144 Bowman Isle Suite 451, North Jenniferfort, IA 77280",BANK-1590838716,2025-09-23,0,
C00736,Matthew Evans,DVC-35033e54,"33582 Giles Meadows Apt. 703, Bradleyburgh, KY 98277",BANK-8325222092,2026-02-14,0,
C00261,Melvin Mcpherson,DVC-da7d0a5a,"0249 Randy Gardens Apt. 097, West Kelli, IA 21170",BANK-5419627962,2025-09-27,0,
C00308,Mrs. Ann Smith,DVC-3655d97d,"Unit 6240 Box 5800, DPO AP 73905",BANK-6922713963,2026-06-03,0,
C00811,Sara Lawrence,DVC-8bb509eb,"06745 Porter Stream, Williamsshire, ME 34270",BANK-9370133343,2024-11-25,0,
C00193,Brittany Gay,DVC-93aae077,"52175 Lawrence Centers Apt. 743, New Kathy, NM 12040",BANK-5033992825,2024-12-13,0,
C00785,Jeffrey Harrell,DVC-839e84f9,"56793 Timothy Turnpike, Lucasburgh, IA 79010",BANK-4440904834,2025-10-13,0,
C00320,Robert Thompson,DVC-f40880d2,"627 Douglas Trafficway, Robinsonville, PW 58379",BANK-8261111839,2026-03-13,0,
C00174,Tracey Underwood,DVC-3c66c7cb,"0433 Michael Turnpike Apt. 006, Oconnorburgh, FM 54767",BANK-4713453204,2025-09-21,0,
C00033,Jeffrey Cox PhD,DVC-a33e0b7c,"2849 Marshall Views, Marcusbury, MP 11860",BANK-6488854841,2025-04-08,0,
C00004,Derek Zuniga,DVC-0a89dd0d,"327 Nelson Route, Lake Mark, WI 07832",BANK-1958682846,2025-02-28,0,
C00842,Taylor Smith,DVC-535a1ba3,"3882 Joseph Land Suite 148, Julietown, CA 74839",BANK-8598503901,2026-07-23,0,
C00410,Jaclyn Crane,DVC-af8c0bd8,"15940 David Inlet Suite 447, Port Douglasshire, MT 06877",BANK-8543865915,2026-07-30,0,
C00799,Danielle Fox,DVC-6578b98d,"2642 Robert Expressway, East Monicaton, OK 86303",BANK-5071218314,2026-05-05,0,
C00626,Brandon Weber,DVC-bec9823f,"8350 Joshua View, Silvaport, MN 82355",BANK-1195066088,2026-04-22,0,
C00125,Donna Shaw,DVC-d346968f,"11823 Christine Glen Suite 461, Susanmouth, OK 32378",BANK-7803990970,2026-02-27,0,
C00340,Julie Patel,DVC-8fec01e9,"9513 Miller Lock Apt. 411, West Daniel, FL 65555",BANK-2178158203,2024-12-29,0,
C00569,Julia Gaines,DVC-f2986ef3,"29439 Martinez Plains Suite 062, Santiagomouth, AS 68397",BANK-9202102595,2025-08-27,0,
C00354,Gloria Mckinney,DVC-a2c7d67f,"22342 David Common, Vazquezville, CA 02965",BANK-2304963614,2026-04-28,0,
C00618,Robin Gray,DVC-848aef2c,"11860 Julia Plains Apt. 196, Port Catherine, ME 42932",BANK-3894673596,2025-07-31,0,
C00421,Steven Chambers,DVC-3828cf90,"97013 Wilson Harbor Apt. 658, Amberfurt, ME 17584",BANK-1400330495,2025-06-18,0,
C00933,Eric Tran,DVC-a842d6a1,"920 White Drives, Lake Robert, GA 13714",BANK-4455798713,2026-06-04,1,RING-5
C00856,Kimberly Watson,DVC-b1aa7dc6,"255 Chambers Underpass, Karenview, GA 11647",BANK-3291270703,2025-11-01,0,
C00225,Tina Jackson,DVC-1de73bb1,"645 Erin Isle, Fordstad, WI 40539",BANK-2825989011,2025-09-17,0,
C00546,Christopher Johnson,DVC-368df05c,"9856 Danny Valleys Suite 625, North Jason, MN 49255",BANK-1091729577,2024-12-25,0,
C00612,Kari Sandoval,DVC-1b3c3b4c,"47769 Daniels Hill Apt. 314, Montesmouth, IA 87325",BANK-7098134112,2025-07-31,0,
C00117,Scott Brown,DVC-ae15adb7,"95995 Kevin Divide Apt. 644, New Stacyburgh, SC 89466",BANK-7249213370,2025-08-01,0,
C00341,Kelly Burton,DVC-9463ca94,"5670 Lopez Brooks, Port Stacey, SD 44525",BANK-5184564874,2025-07-20,0,
C00084,Patricia Moss,DVC-95a020ec,"8527 Welch Valleys, North Jennifer, NH 05348",BANK-1945826486,2025-04-19,0,
